Archive:  /home/runner/work/mltd-relive/mltd-relive/input/mltd-relive-game-client-zh-fixed.apk
 Length   Method    Size  Cmpr    Date    Time   CRC-32   Name
     565  Stored      565   0% 2024-01-15 19:16 c271cef6  res/drawable-mdpi/icon_notification.png
     215  Stored      215   0% 2024-01-15 19:16 d9fa55b7  res/drawable-mdpi/notification_bg_low_normal.9.png
     229  Stored      229   0% 2024-01-15 19:16 d9383328  res/drawable-mdpi/notification_bg_low_pressed.9.png
     215  Stored      215   0% 2024-01-15 19:16 c135d194  res/drawable-mdpi/notification_bg_normal.9.png
     229  Stored      229   0% 2024-01-15 19:16 631183fb  res/drawable-mdpi/notification_bg_normal_pressed.9.png
      93  Stored       93   0% 2024-01-15 19:16 29233959  res/drawable-mdpi/notify_panel_notification_icon_bg.png
    6120  Stored     6120   0% 2024-01-15 19:16 df38c999  res/drawable-nodpi/ic_launcher.png
    1352  Defl:N      492  64% 2024-01-15 19:16 ace681aa  res/drawable-v21/notification_action_background.xml
    1028  Defl:N      396  62% 2024-01-15 19:16 85346fa4  res/drawable-watch-v20/common_google_signin_btn_text_dark_normal.xml
    1172  Defl:N      433  63% 2024-01-15 19:16 e2574a32  res/drawable-watch-v20/common_google_signin_btn_text_disabled.xml
     992  Defl:N      389  61% 2024-01-15 19:16 939a20a0  res/drawable-watch-v20/common_google_signin_btn_text_light_normal.xml
     516  Stored      516   0% 2024-01-15 19:16 198dba6c  res/drawable-xhdpi/common_full_open_on_phone.png
     944  Stored      944   0% 2024-01-15 19:16 14eca460  res/drawable-xhdpi/common_google_signin_btn_icon_dark_normal_background.9.png
     918  Stored      918   0% 2024-01-15 19:16 3e42daa8  res/drawable-xhdpi/common_google_signin_btn_icon_light_normal_background.9.png
     976  Stored      976   0% 2024-01-15 19:16 7e8f36a5  res/drawable-xhdpi/common_google_signin_btn_text_dark_normal_background.9.png
     934  Stored      934   0% 2024-01-15 19:16 c2e5d158  res/drawable-xhdpi/common_google_signin_btn_text_light_normal_background.9.png
     792  Stored      792   0% 2024-01-15 19:16 4983c4e1  res/drawable-xhdpi/googleg_disabled_color_18.png
    1233  Stored     1233   0% 2024-01-15 19:16 e79d2bb4  res/drawable-xhdpi/googleg_standard_color_18.png
    2001  Stored     2001   0% 2024-01-15 19:16 499cd2c8  res/drawable-xhdpi/icon_notification.png
     221  Stored      221   0% 2024-01-15 19:16 3ad03275  res/drawable-xhdpi/notification_bg_low_normal.9.png
     251  Stored      251   0% 2024-01-15 19:16 b73fca07  res/drawable-xhdpi/notification_bg_low_pressed.9.png
     221  Stored      221   0% 2024-01-15 19:16 9944f31a  res/drawable-xhdpi/notification_bg_normal.9.png
